,name,salary,type,address,url,schedule,work_format,experience
151,"Стажер Дата аналитик в Мой МТС [Big Data, МТС Веб Сервисы]",No Info,Открытая,No Info,https://api.hh.ru/vacancies/130101947?host=hh.ru,Полный день,Гибрид,Нет опыта
152,Data Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129646662?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
153,Digital маркетолог (недвижимость),from 170000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129149730?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
154,"Product manager (RecSys, Dating+Video)",No Info,Открытая,No Info,https://api.hh.ru/vacancies/129893255?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
155,Разработчик Oracle,from None to 300000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130091048?host=hh.ru,Удаленная работа,На месте работодателя,От 3 до 6 лет
156,SMM-менеджер,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129411153?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
157,Системный аналитик (разработка AI-агентов),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130195858?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
158,Дата аналитик ( Data Analyst),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129422812?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
159,Head of Product,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129601803?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
160,QA инженер,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129813192?host=hh.ru,Полный день,No Info,От 1 года до 3 лет
161,Senior IT-project manager c перспективой роста в аккаунт-менеджера,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130249708?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
162,Младший аналитик (Python),from 80000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129013159?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
163,Бизнес-аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130085155?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
164,Senior Data-инженер,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130162500?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
